time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB
12/31/2019,6.58,28.2,26.05,58.52,9.56,21.06,58.07,9.29,5.44,8.1,6.05,45.72,35.96,44.85,9.03,85.88,2.14,5.93,10.05,11.12,5.95,38.95,62.49,4.05,51.11,146.2,71.1,6.53
1/2/2020,6.64,27.74,26.47,58.87,9.84,21.17,58.63,9.91,5.49,8.28,6.16,46.12,36.9,45.25,9.38,84.37,2.21,6.04,10.2,11.24,6.02,39.21,62.56,4.12,51.11,148,71.96,6.71
1/3/2020,6.64,27.45,26.36,58.52,9.75,20.81,58.75,10.26,5.44,8.33,6.18,46.53,36.37,45.73,9.22,84.6,2.14,5.99,10.2,11.17,6.07,38.82,62.78,4.09,51.25,148,72.2,6.66
1/6/2020,6.49,27.17,25.85,57.67,9.77,20.59,60.61,10.08,5.33,8.28,6.09,45.8,36.18,45.89,8.95,84.3,2.11,5.98,10.05,10.89,5.98,37.78,61.45,4.02,50.89,146,71.65,6.51
1/7/2020,6.49,26.42,26.36,57.59,9.93,20.99,60.18,9.82,5.27,8.17,6.11,45.96,36.46,45.25,8.87,84.37,2.11,5.99,10.15,10.96,5.99,37.91,61.75,4.02,50.98,145.9,72.32,6.64
1/8/2020,6.38,26.24,26.59,56.31,9.91,20.52,60.12,9.47,5.27,8.09,6.02,45.32,35.58,44.61,8.48,84.07,2.11,5.83,9.98,10.75,5.91,37.57,60.79,3.95,50.8,144.8,72.51,6.56
1/9/2020,6.46,26.05,28.03,55.54,10.27,20.81,59,9.65,5.43,8.28,6.12,46.12,36.11,45.01,8.59,85.5,2.14,5.89,10.15,10.89,5.96,38.3,61.38,3.98,50.98,146.2,72.38,6.77
1/10/2020,6.55,26.05,28.96,57.16,10.78,20.77,59.43,9.82,5.55,8.34,6.22,45.72,36.3,44.61,8.75,87.95,2.34,6.01,10.5,10.94,6.07,38.65,62.26,3.98,51.02,146.2,72.57,6.87
1/13/2020,6.61,26.89,28.28,56.9,10.62,20.63,59.06,9.91,5.51,8.36,6.19,46.12,36.11,44.77,8.67,88.1,2.37,6.01,10.4,10.84,6.09,38.6,63.59,4.05,51.07,146.5,71.65,6.72
1/14/2020,6.78,27.17,28.28,56.31,10.75,20.59,58.81,9.82,5.53,8.62,6.25,45.8,35.92,44.45,8.59,87.76,2.37,6.04,10.3,10.82,6.13,38.6,63.59,4.09,51.11,146,71.9,6.9
1/15/2020,6.72,26.99,28.79,56.22,10.8,20.59,58.26,9.73,5.48,8.67,6.24,45.72,35.96,44.37,8.59,88.14,2.44,6.04,10.25,10.82,6.15,38.56,63.59,4.05,51.11,146,71.9,7.07
1/16/2020,6.9,27.08,30.48,56.31,11.4,20.95,57.82,9.82,5.66,8.72,6.4,45.48,36.4,44.61,8.67,87.87,2.47,6.27,10.4,11.01,6.19,38.65,63.44,4.09,51.11,146,72.14,7.13
1/17/2020,6.87,27.27,30.2,56.22,11.42,20.81,57.76,10,5.64,8.62,6.4,44.51,36.62,45.01,8.51,88.33,2.41,6.32,10.6,11.05,6.09,40.8,63.37,4.07,51.07,148.2,72.38,7.15
1/20/2020,7.01,27.45,30.09,55.79,11.49,20.74,57.88,10.08,5.58,8.79,6.4,43.94,37.41,44.85,8.44,88.89,2.37,6.32,10.7,11.03,6.07,40.59,63.37,4.09,51.07,147,72.63,7.34
1/21/2020,7.07,27.45,30.48,56.22,11.58,20.05,58.81,10.35,5.72,8.91,6.56,44.1,37.85,45.57,8.59,87.76,2.44,6.32,10.9,11.36,6.07,40.59,64.48,4.16,51.07,147,73.85,7.69
1/22/2020,7.07,27.36,31.33,57.16,11.72,20.41,58.81,10.61,5.73,9.07,6.51,43.21,37.6,45.89,8.75,87.57,2.54,6.34,10.9,11.43,6.07,40.33,65.88,4.16,51.07,146.5,74.03,7.7
1/30/2020,6.81,27.08,29.75,53.83,11.14,19.76,57.02,10.08,5.52,8.72,6.18,40.54,35.96,44.37,8.75,82.11,2.47,6.07,10.35,10.82,6.05,38.39,64.4,4.05,51.07,140,71.16,7.41
1/31/2020,6.64,26.24,29.07,50.16,11.17,18.79,53.61,9.47,5.33,8.31,6.05,40.54,34.95,42.45,8.28,79.85,2.47,5.81,10.2,10.2,5.91,38.3,64.48,4,51.02,130.2,66.22,7.33
2/3/2020,6.52,22.68,30.2,47.43,11.51,18.61,51.56,9.12,5.33,8.47,5.92,40.46,34.32,40.85,7.88,78.68,2.6,5.6,10.25,10.13,5.86,38.3,62.78,4,51.02,125.5,66.1,7.38
2/4/2020,6.7,23.42,30.71,47.52,12.31,18.71,50.82,9.12,5.44,8.48,6.15,40.46,34.03,40.61,7.49,76.46,2.71,5.58,10.2,10.27,5.93,38.77,63.15,4.02,51.02,129,64.08,7.65
2/5/2020,6.64,25.3,30.2,48.46,12.15,18.79,50.57,9.21,5.61,8.43,6.15,40.46,34.06,41.25,7.54,73.07,2.95,5.57,10.25,10.27,5.96,38.39,63.37,4.05,50.89,127,65.06,7.88
2/6/2020,6.93,24.83,30.03,49.82,12.7,19.36,53.24,9.56,5.9,8.69,6.34,40.38,34.54,41.65,7.92,71.56,3.03,5.81,10.95,10.56,6.05,38.6,63.96,4.14,50.85,127.5,65.61,8.32
2/7/2020,6.87,25.21,29.18,51.02,12.31,19.26,53.3,9.56,5.91,8.4,6.22,40.38,34.28,41.49,7.81,73.45,2.83,5.81,11.15,10.46,5.88,38.86,64.11,4.09,50.85,131.2,67.26,8.27
2/10/2020,6.81,24.55,27.71,49.05,12.17,19,53.79,9.47,5.83,8.4,6.11,40.38,33.37,41.33,7.63,73.45,2.71,5.76,10.95,10.32,5.91,38.39,63.52,3.98,50.53,129,66.52,8.03
2/11/2020,6.84,23.89,28.67,49.31,12.7,19.36,53.05,9.56,5.73,8.14,6.16,40.38,33.59,42.29,7.77,73.07,2.87,5.73,11.35,10.46,5.93,38.52,63.52,4.05,50.4,129,65.43,8.29
2/12/2020,7.39,24.46,28.67,49.05,12.45,19.55,53.3,9.47,5.77,8.21,6.29,40.87,34.38,42.37,8.32,71.94,2.91,5.84,11.55,10.7,5.95,38.6,63.74,4.09,49.78,129.2,65.43,8.44
2/13/2020,7.36,25.11,28.45,49.05,12.47,19.62,54.23,9.47,5.77,8.17,6.22,40.62,34.06,42.69,8.32,73.28,2.87,5.78,11.5,10.68,5.95,38.56,63.37,4.26,49.96,129.2,65.24,8.68
